🔒 Row ID,Master Event ID,SKU ID,Flag is Active,Flag Message,Flag Type Code,Event Code,Ownership/User ID,Ownership/Owner ID,Ownership/Location ID,History/User Name,History/Flagged by Signature,History/Timestamp,History/Created on Page
3It9bBtOQL2Uc691lC7oLA,CxEhNWHSQe2RwxzddTO-2A,uNKEGww8SVWyVYQj8vslaA,true,I think this was an old product?,5,1,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,,,2025-05-19T14:31:58.194Z,
x4D7Z38AT.K8-KvQVeFWXA,CxEhNWHSQe2RwxzddTO-2A,uNKEGww8SVWyVYQj8vslaA,,cost now corrected in item ,,2,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,,2025-05-20T10:25:50.882Z,
a.ZrDtzsgRCGTeKDpgYa9xQ,CgCzF20KO5SU6KXDUBX1,R25RyyZARFa8c149ZvCDTA,true,,1,1,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,,2025-05-20T12:51:50.433Z,
wsYEnAmmOLVgrIbffDUO,CxEhNWHSQe2RwxzddTO-2A,uNKEGww8SVWyVYQj8vslaA,,Flag Cleared,,3,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,,New Co Owner Demo,,2025-05-20T13:21:24.218Z,
K9V-SMb7Ry6oqzUEE6H9Dg,BSQAHuddf1t34DdcXhxG,uNKEGww8SVWyVYQj8vslaA,true,,2,1,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,,2025-05-20T13:42:04.348Z,
uU2UEGNATahZhZe8HBOB,BSQAHuddf1t34DdcXhxG,uNKEGww8SVWyVYQj8vslaA,,Flag Cleared,,3,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,,2025-05-20T13:43:33.538Z,
Z3NZl3IiQiiOkGy4GXkUEQ,oLUyL9wdZ9aHHuwTi2Xm,uNKEGww8SVWyVYQj8vslaA,true,,3,1,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,jon,2025-05-20T13:46:52.611Z,
mzYO0T2PNVmRvDjnw6Ty,oLUyL9wdZ9aHHuwTi2Xm,uNKEGww8SVWyVYQj8vslaA,,✅ Flag Cleared by New Co Owner Demo,,3,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,,2025-05-20T14:16:21.800Z,
lZu7vK38SQCZBq.8foEq4A,CAxJCoYWIybti9jwMyeN,uNKEGww8SVWyVYQj8vslaA,true,colour is not as good,7,1,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,Jon,2025-05-20T20:23:42.569Z,
daEzWoRHQVmb7CxazVjVhQ,ryMgAGQLznWrYDGLyYBa,FYyerj6JRN2QVoqAeTE9Ww,true,Testing Functionality ,100,1,LkDqWOiPRS-D6iEdWCD9IA,wuqj75edR0670x.mQmMz0A,QG-A.oJrSF2AmUnmgpDNUg,Jon Elliott,Jon,2025-05-20T22:08:28.748Z,
