🔒 Row ID,LOC ID,SUPPLIER ID,Owner ID,Supplier Name,Notes,Account ID,Supplier Mask/Team,Supplier Mask/Active,Supplier Mask/Order Days WRITE
lmATQ6RET2CRtpSPOtBW3A,Wrb-5IgyT1-lRXkb77zs6Q,Ex7AoBjaSbaWlVnxUFILog,7jWCFKO9SGmYNSUTyjdRSw,Demo Supplier,,,Supplier,true,"1,2,3,4,5,6,7"
MI805VTTbS79hSd1PPiI,oFfCFx8eS2--kBJ.DYP8Mw,Ex7AoBjaSbaWlVnxUFILog,7jWCFKO9SGmYNSUTyjdRSw,Demo Supplier,,,Supplier,true,1
etZpsSW1Q--FNjIfoKohmw,nx9eCYAATmuvrHPvNHkb9w,w6AhNWWTQsiz3TYH.act5Q,wuqj75edR0670x.mQmMz0A,200 Degrees Coffee,"(State name and for Public Mountsorrel Limited)

Only need 1x bag of each tea (other than breakfast) in the garage, order a bag when that one has been opened/brought up to the shop",,FOH,true,"2,4,6"
c8obsu4GRHa8QfIs7mPXvA,nx9eCYAATmuvrHPvNHkb9w,AjTs2rKDRt2drnhqSUkbng,wuqj75edR0670x.mQmMz0A,Cakesmiths,"Order as needed, predict that the delivery will be not the next day, but day after to avoid running out.",,FOH,true,"2,5"
2lhbgb5aTBaJ6BaEHztO8w,nx9eCYAATmuvrHPvNHkb9w,a.3hkq3OGSyWf66d3VFCiPg,wuqj75edR0670x.mQmMz0A,Corney & Barrow,,PUB0225,Kitchen,true,"2,4"
gNku2BocTFm1iymHZ3bVMA,nx9eCYAATmuvrHPvNHkb9w,JKGzpLFSRxCfAxNLKmy33A,wuqj75edR0670x.mQmMz0A,Holdsworth,,PUB002,Kitchen,true,"2,4,6"
fHwGYPUxT9-nvVfiXxvvZQ,nx9eCYAATmuvrHPvNHkb9w,sZRVo5.eS5acf7GEVw6eCw,wuqj75edR0670x.mQmMz0A,Katchicks Foods,,,Kitchen,true,"1,2,3,4,5,6"
4aK90l3-S6KZcpCP48LWZg,nx9eCYAATmuvrHPvNHkb9w,IzNRYFFJT.Sje-ugJuIzyQ,wuqj75edR0670x.mQmMz0A,Kater 4,"Look at previously sent emails for the email structure.

Need to confirm the Order Acknowledgement when they email it back.",3629,FOH,true,"3,5"
5ks6i5JuQ-WbVI03adiqMA,nx9eCYAATmuvrHPvNHkb9w,4LkK8yfyT6qKO7IEDGKSpw,wuqj75edR0670x.mQmMz0A,PerfectTed,,,FOH,true,2
eYtAVFjwSWe9vmyWOTl-sQ,nx9eCYAATmuvrHPvNHkb9w,Bt1gPaZnQtKjmnsKW3YezA,wuqj75edR0670x.mQmMz0A,Press,"(NOTE : These go out-of-date very quickly, so DO NOT over-order!). 

ONLY ORDER OVER EMAIL TO PREVENT SHORT SHELF LIFE",,FOH,true,3
