🔒 SKU Row ID,Product Code,Product Name,Zonal/Added to Zonal,Unit,Cost,Supplier ID,Active/Active,Sorting/Pin,History/Created Timestamp,History/Created by User,Import/DatafromCSV ID,Par API/SKU Added to Par Helper,Mask API/Added to SKU Mask,Ownership/Org ID,Flag/Flag,Flag/Flag Message,History/Last updated,History/Last updated by,Delete,Set/Auto-Quantity Weekday,Notes/SKU Global Note
t7LMzhcxRvKur6K0a9fSzg,34539,Granulated Sugar,true,10kg,17.09,JKGzpLFSRxCfAxNLKmy33A,true,false,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,iYRKKTsOTIe.v-FmM80TZw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
gAs-4ignSX23QZXh2S9UmA,6203,Heinz Beans,true,24 x 415g,33.99,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,Rw9Q0dlwSZOeOGZtuSEbkw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
l-acw3uPTNOuXeKAKkLaxQ,59035,Cooked Turkey Sadle,true,3.63kg,37.95,JKGzpLFSRxCfAxNLKmy33A,false,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,XeepAePIQAKo.cUVax.Wsw,true,true,wuqj75edR0670x.mQmMz0A,false,seasonal?,"13/06/2025, 12:48:50",Yf4mVmvKQDqbClJDREe1rQ,,,
i8NONUXaTKiFFipWG5X4Jg,16327,Truffle Oil,true,250g,7.19,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,ViW7-2.GSxmdYXLF-it4ww,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
wsSveKriRauwtYpuQuQxfA,6058,Philadelphia,true,1.65kg,17.99,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,xlvJurfiQVipb4ElX8E8lQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
SRr0e6V2Sv-.Mo0j6Wlokg,10057512023BT06,Mucchietto Fiano IGT Puglia 2022,true,6 x 75cl,7.78,a.3hkq3OGSyWf66d3VFCiPg,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,ltDrvswNRLi6tCNinfSSEQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
K8DJ7wUeQhCsbYvewaOFLQ,82279,Chickpeas,true,6 x 2.55kg,23.22,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,yxrnxC1eTjizOu6P9aA-Pw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
lJ7ehfu-R4SEtsVO0PSRVw,43265,Bagels,true,48 x 115g,15,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,sg5jR8GJToe6iYchN3iWKQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
5sjD5o5qS7O3rLGoJGcOOg,9417,Cinnamon,true,450g,6.25,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,4..wTn7rRiik4SqarcUTcg,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
nNxROVdcTQWwk3yueCNr9w,54328,Release Spray,true,600ml,5.28,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,rdZWeoRSSaCstNX8fvX7CQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
