🔒 Row ID,Supplier Name,Supplier ID,Product Code,Item Name,Unit,Cost,CSV Row ID,Owner ID
Mf2bwpLaSqyjCMzYomv7bQ,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,712,Whole Milk,2 Litre,£1.65,,wuqj75edR0670x.mQmMz0A
Pns4mRfIQDi-tsdy3RFEYA,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,713,Semi-Skimmed Milk,2 Litre,£1.65,,wuqj75edR0670x.mQmMz0A
OuXSOC55RbONICdUcY7RkA,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,3682,Unsalted Butter,40 x 250g,£82.50,,wuqj75edR0670x.mQmMz0A
cE9CAOsqSbSrNu3T0pKJCg,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,3680,Salted Butter,40 x 250g,£82.50,,wuqj75edR0670x.mQmMz0A
UwcHscpFTZyDcoKLla.vsQ,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,700,Double Cream,2 Litre,£8.45,,wuqj75edR0670x.mQmMz0A
S6OmSM6RSzuAXJ5GjdoYeA,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,3895,Mascarpone,2kg,£15.45,,wuqj75edR0670x.mQmMz0A
Xjzzm9kbR.ywKwGsyIiffw,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,1446,Brover Cherries,2.75kg,£27.95,,wuqj75edR0670x.mQmMz0A
qUuK-vYeRBeLHdgIDSjefQ,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,5085,Fresh Yeast,500g,£2.95,,wuqj75edR0670x.mQmMz0A
U78jOMsZSdyGOLaBnBGJhw,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,29887,Puff Pastry,4.25kg,£32.60,,wuqj75edR0670x.mQmMz0A
tsJG.HNZSnmLEAMKd4j4OA,The Veg Factor,L0QTd42GQ0GxQ4XjcnJImw,890,Mozzarella Block,2.3kg,£13.25,,wuqj75edR0670x.mQmMz0A
EdJaYyShR9CJQX.KawTD-w,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,OAT0080,Oatly - LARGE Barista Edition,6 x 1.5L,£13.50 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
xdm2ZbO7T7WAsQI8TcN7-Q,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,RHA0025,Rude Health - Coconut Barista Drink,6 x 1L,£11.21 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
lPYEMMS-SZW-XHk1Q1OB7w,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,ALP0010,Alpro - Soya Barista for Professionals,12 x 1L,£22.00 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
de5wTi1hQK6EhhCfythbAg,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,MMK0010,Momo Kombucha - Organic Ginger-Lemon Kombucha,12 x 330ml,£25.80 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
V.jX1Jc9Ro6fU82m6WFQQA,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,MMK0020,Momo Kombucha - Organic Turmeric Kombucha,12 x 330ml,£25.80 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
Le-LhUKTQxen5rNpld6MSw,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,MMK0030,Momo Kombucha - Organic Elderflower Kombucha,12 x 330ml,£25.80 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
LuX84U3HTFCGfRPbXbLtDQ,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,MMK0040,Momo Kombucha - Organic Raspberry-Hibiscus Kombucha,12 x 330ml,£25.80 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
ot7pGhjLQzWznkbEnIllvQ,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,LWC0010,Life Water Can - Still,24 x 330ml,£11.15 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
LtI3YE0ESWe-ra5LCd.3tw,Stores Supply,8C34O7MZSM2sqBMmQhW7gA,LWC0020,Life Water Can - Sparkling,24 x 330ml,£11.15 ,0I0AACF0QZ6ViobsvaPGkQ,wuqj75edR0670x.mQmMz0A
UyxdFC8iTaO-Jlbs7Ii1ZA,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Jeeves & Jericho English Breakfast Tea,1 x 100,20.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
9IvES5R8RumnlWyX9bt8jA,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Jeeves & Jericho Earl Grey Tea,1 x 100,21.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
ajkrkLKDRvCKJTn.4edljA,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Jeeves & Jericho Gunpowder Green Tea,1 x 100,21.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
lxwDeC4BRbS7ecUrLQZBPQ,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Jeeves & Jericho Mojito Mint Tea,1 x 100,21.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
wNY9mRAIROW-6f4MfFxZsA,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Jeeves & Jericho Lemon & Ginger Tea,1 x 100,21.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
py1FTFmPTPKHJcfKq9qeZw,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Jeeves & Jericho Red Berry Tea,1 x 100,21.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
9U.iOMDrSliztfkqAG4XQw,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Jeeves & Jericho Camomile & Lavender Tea,1 x 100,21.5,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
oWFpZv.rTT-ZkJzxB214Pw,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Jeeves & Jericho Decaf Tea,1 x 100,25,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
zws01zAWQpumxWpQcrjYjw,200 Degrees Coffee,w6AhNWWTQsiz3TYH.act5Q,N/A,Zuma Original Hot Chocolate Powder,1 x 2kg,16.99,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
a.HIjMDWbTR23fe6FPotfxQ,Cakesmiths,AjTs2rKDRt2drnhqSUkbng,5058,Banana & Chocolate Loaf Pre-Sliced,1 x 14,19.65,rkQAvgHNSdCBnNsPZief6Q,wuqj75edR0670x.mQmMz0A
