🔒 Row ID,SKU ID,LOC ID,SUPPLIER ID,CSV ID,Owner ID,Site Mask/Active,Site Mask/Pinned,Site Mask/Weekday Set QTY,Site Mask/Weekend Set QTY,Site Mask/Weekday Par QTY,Site Mask/Weekend Par QTY,SKU Lookup/Product Description READ,SKU Lookup/Product Code READ,SKU Lookup/Unit READ,SKU Lookup/Cost READ,History/Created,History/Last PD Update
WOMVTm.tTCOKtJKpoWQk-Q,uNKEGww8SVWyVYQj8vslaA,Wrb-5IgyT1-lRXkb77zs6Q,Ex7AoBjaSbaWlVnxUFILog,,7jWCFKO9SGmYNSUTyjdRSw,true,true,,,,,Demo Apples,D001a,3kg,2.49,,
pfEa5iqbJdFXQrpx6h7G,R25RyyZARFa8c149ZvCDTA,Wrb-5IgyT1-lRXkb77zs6Q,Ex7AoBjaSbaWlVnxUFILog,,7jWCFKO9SGmYNSUTyjdRSw,false,true,,,,,Demo Flour,D002,12kg,1.2,,2025-06-21T13:32:50.993Z
X1Jyo7cYAL9lLAZju3i2,uNKEGww8SVWyVYQj8vslaA,oFfCFx8eS2--kBJ.DYP8Mw,Ex7AoBjaSbaWlVnxUFILog,,7jWCFKO9SGmYNSUTyjdRSw,true,true,1,,,,Demo Apples,D001a,3kg,2.49,,
dwypVXKQV6NYFb0YmFh9,R25RyyZARFa8c149ZvCDTA,oFfCFx8eS2--kBJ.DYP8Mw,Ex7AoBjaSbaWlVnxUFILog,,7jWCFKO9SGmYNSUTyjdRSw,true,true,,,,,Demo Flour,D002,12kg,1.2,,2025-06-21T13:32:50.993Z
YzSaxhQvRMKpRUukXPKxBA,t7LMzhcxRvKur6K0a9fSzg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,iYRKKTsOTIe.v-FmM80TZw,wuqj75edR0670x.mQmMz0A,true,,,,1,,Granulated Sugar,34539,10kg,17.09,,
QC4WqLw7S3KmiRasbzcfSA,gAs-4ignSX23QZXh2S9UmA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,Rw9Q0dlwSZOeOGZtuSEbkw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Heinz Beans,6203,24 x 415g,33.99,,
TRa.KtUnR22SW.Uh9vJ0Fw,l-acw3uPTNOuXeKAKkLaxQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,XeepAePIQAKo.cUVax.Wsw,wuqj75edR0670x.mQmMz0A,,,,,3,,Cooked Turkey Sadle,59035,3.63kg,37.95,,2025-06-13T11:48:59.662Z
a.2.Pp.72Quekb668FSwoEg,i8NONUXaTKiFFipWG5X4Jg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,ViW7-2.GSxmdYXLF-it4ww,wuqj75edR0670x.mQmMz0A,true,,,,3,,Truffle Oil,16327,250g,7.19,,
4It10ffqTd28GvKWteq1hg,wsSveKriRauwtYpuQuQxfA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,xlvJurfiQVipb4ElX8E8lQ,wuqj75edR0670x.mQmMz0A,true,,,,4,,Philadelphia,6058,1.65kg,17.99,,
2BlUu1CZRgeiW1XAPbqYPQ,SRr0e6V2Sv-.Mo0j6Wlokg,QG-A.oJrSF2AmUnmgpDNUg,a.3hkq3OGSyWf66d3VFCiPg,ltDrvswNRLi6tCNinfSSEQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Mucchietto Fiano IGT Puglia 2022,10057512023BT06,6 x 75cl,7.78,,
Sg.86kyQQMCeYn-pJfJsJg,K8DJ7wUeQhCsbYvewaOFLQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,yxrnxC1eTjizOu6P9aA-Pw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Chickpeas,82279,6 x 2.55kg,23.22,,
cRpt6XZKThOw9ismPJC6Rw,lJ7ehfu-R4SEtsVO0PSRVw,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,sg5jR8GJToe6iYchN3iWKQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Bagels,43265,48 x 115g,15,,
pCje-V8TQZuKTCcTRiU3eQ,5sjD5o5qS7O3rLGoJGcOOg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,4..wTn7rRiik4SqarcUTcg,wuqj75edR0670x.mQmMz0A,true,,,,6,,Cinnamon,9417,450g,6.25,,
slgzVWSoTHq6nktaKla9zQ,nNxROVdcTQWwk3yueCNr9w,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,rdZWeoRSSaCstNX8fvX7CQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Release Spray,54328,600ml,5.28,,
SEUSnC5kRaWcapWQ9jgsNA,2EjO6ntGR6aYIuyVPTeLZQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,EHbg.HpcSzOLzccTGufBcw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Icing Sugar,54808,3kg,5.99,,
