🔒 Row ID,SKU Row ID,Supplier ID,Supplier Name,Location ID,Owner ID,Order Info/Order ID,Product Code,Product Name,Unit,Cost,Priority,Quantity,Par,Created,OLD ORDER LINE ID
a-Lsq5-HhQhKVZZ.RIXe3qg,vbxUgF0CR8m0JCIpbu-7pg,sZRVo5.eS5acf7GEVw6eCw,Katchicks Foods,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,qocT4gYNazmW83Jjv8L2,N/A,Sausage Meat,1kg,5.8,DDD Sausage Meat,0,2,2025-09-06T08:04:01.000Z,
sqhbp9S3QlqQFnHSIONhxg,D41wLjlsTiSy1JjfdfuRHQ,sZRVo5.eS5acf7GEVw6eCw,Katchicks Foods,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,qocT4gYNazmW83Jjv8L2,N/A,Pancetta,500g,12,DDD Pancetta,0,2,2025-09-06T08:04:01.000Z,
uJvODIkuQFinM.TkvKa6Jg,WPxIhfJ2RPy0Cez7F0irnQ,JKGzpLFSRxCfAxNLKmy33A,Holdsworth,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,rIvq3dVH7myMFdKGhDgk,5395,Mini Jam Jars,72 x 28g,22.5,,0,,"12/05/2025, 10:50:02",WqVLXMRHQdKKxC9QwIT3hg
Ivb7tjuuQpi0jGjh2gtHcg,vbLEFZd0ShWR60jEJRoQ5Q,JKGzpLFSRxCfAxNLKmy33A,Holdsworth,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,rIvq3dVH7myMFdKGhDgk,7509,Vanilla Essence,500ml,3.37,,0,,"12/05/2025, 10:50:02",TPgLNRu1QcuDdj-QcasA4w
n3Ksrr4HTraXx0alQlSmNg,2SvoqDw7TDeZE7AMHr4Lww,JKGzpLFSRxCfAxNLKmy33A,Holdsworth,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,rIvq3dVH7myMFdKGhDgk,4597,Maple Syrup,620g,7.5,,0,,"12/05/2025, 10:50:02",jgrqs8LkQ0ijxwhH9LyyCg
VZXybcpVRbmmlzaeYXFfXA,MGljPev6QzmyAWm9Uv5UIQ,JKGzpLFSRxCfAxNLKmy33A,Holdsworth,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,rIvq3dVH7myMFdKGhDgk,2982,Almond Essence,500ml,2.99,,0,,"12/05/2025, 10:50:02",hjfVSUfaQu2P64oRr.oSWg
hhcyg927TpCPP3TR1a0yGA,t7LMzhcxRvKur6K0a9fSzg,JKGzpLFSRxCfAxNLKmy33A,Holdsworth,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,rIvq3dVH7myMFdKGhDgk,34539,Granulated Sugar,10kg,17.09,,0,,"12/05/2025, 10:50:02",o2V5cyM4TDCkYs20UXz4vw
8PGTxCqiSD6m35Q1IZu95g,tic8S3LcRR6qPXQwGD6J.w,JKGzpLFSRxCfAxNLKmy33A,Holdsworth,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,rIvq3dVH7myMFdKGhDgk,8064,White Vinegar,5 Litre,3.95,,0,,"12/05/2025, 10:50:02",zwdSERSRTRWcJeYbu1ouiA
SKM60RTURumi8KydILj8dQ,GoDkbnu9RYCZTUGLRFlApw,JKGzpLFSRxCfAxNLKmy33A,Holdsworth,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,rIvq3dVH7myMFdKGhDgk,71036,Demerara Sugar,3kg,6.5,,0,,"12/05/2025, 10:50:02",2m6SdnvKRTu7wes7cIEyfg
ZlYpE2xfTdaTrEd6Dnk9JA,nNxROVdcTQWwk3yueCNr9w,JKGzpLFSRxCfAxNLKmy33A,Holdsworth,QG-A.oJrSF2AmUnmgpDNUg,wuqj75edR0670x.mQmMz0A,rIvq3dVH7myMFdKGhDgk,54328,Release Spray,600ml,5.28,,0,,"12/05/2025, 10:50:02",MNn424e6RJ6gjNKKwlWP8g
